game_title,image_url,genre,short_description,player_mode
Super Smash Bros. Ultimate,https://images.igdb.com/igdb/image/upload/t_cover_big/co2255.jpg,Fighting,"Iconic video game characters clash in chaotic, over-the-top battles across a variety of stages in this ultimate crossover fighting game.",Both
Dying Light,https://images.igdb.com/igdb/image/upload/t_cover_big/co65yq.jpg,Horror,"Survive a zombie-infested city using parkour skills, crafting weapons, and scavenging resources during the day, while facing terrifying Volatiles at night.",Both
Sniper Elite: Resistance,https://images.igdb.com/igdb/image/upload/t_cover_big/co9brt.jpg,Strategy,Command a team of resistance fighters in Occupied France. Use stealth and sabotage to weaken the Nazi war machine and fight for freedom.,Singleplayer
New World: Aeternum,https://images.igdb.com/igdb/image/upload/t_cover_big/co8xyh.jpg,MMORPG,"Explore a supernatural 17th-century island, forge alliances, conquer territories, and battle monstrous creatures in this open-world MMORPG.",Multiplayer
Hello Kitty Island Adventure,https://images.igdb.com/igdb/image/upload/t_cover_big/co6ohb.jpg,Adventure,"Explore a vibrant island, befriend Sanrio characters, and restore an abandoned theme park in this cozy, open-world adventure.",Both
The Headliners,https://images.igdb.com/igdb/image/upload/t_cover_big/co9c24.jpg,Adventure,"As a news curator in a struggling nation, shape public opinion and face the consequences of your choices in this narrative-driven adventure.",Singleplayer
Mir Tankov,https://images.igdb.com/igdb/image/upload/t_cover_big/co6q0c.jpg,Simulation,Manage a fleet of Soviet-era tanks across diverse landscapes in this historically-inspired simulation game.,Singleplayer
The Binding of Isaac: Repentance,https://images.igdb.com/igdb/image/upload/t_cover_big/co949f.jpg,Roguelike,Descend into the depths of Isaac's nightmare in this challenging roguelike shooter filled with grotesque monsters and bizarre power-ups.,Both
Exoborne,https://images.igdb.com/igdb/image/upload/t_cover_big/co9dm3.jpg,Shooter,"Scavenge, craft, and fight to survive in a post-apocalyptic USA ravaged by extreme weather in this tactical open-world extraction shooter.",Both
Grand Theft Auto: San Andreas,https://images.igdb.com/igdb/image/upload/t_cover_big/co2lb9.jpg,Adventure,"Explore the vast state of San Andreas, rise through gang ranks, and unravel a web of crime in this open-world classic.",Singleplayer
Infinity Nikki,https://images.igdb.com/igdb/image/upload/t_cover_big/co8tdc.jpg,Adventure,"Embark on a magical journey with Nikki, collecting stylish outfits and exploring fantastical open worlds powered by unique dressing-up abilities.",Both
Borderlands 3,https://images.igdb.com/igdb/image/upload/t_cover_big/co20r3.jpg,Shooter,"Vault Hunters unite! Blast through a chaotic world filled with loot, mayhem, and bizarre enemies in this cooperative shooter adventure.",Both
Knight Online,https://images.igdb.com/igdb/image/upload/t_cover_big/co5tgw.jpg,MMORPG,"Join a medieval fantasy world where nations clash in epic battles, forging alliances, and leveling up your character through intense PvP and PvE combat.",Multiplayer
Supermarket Simulator,https://images.igdb.com/igdb/image/upload/t_cover_big/co8guq.jpg,Simulation,"Stock shelves, manage finances, and keep customers happy as you build your own thriving supermarket empire from the ground up.",Singleplayer
